year,date,event
1183 CE,1183-01-01,The Taira clan are driven out of Kyōto by Minamoto Yoshinaka.
1184 CE,1184-01-01,Pope Lucius III issues the papal bull Ad Abolendam.
1185 CE,1185-01-01,Windmills are first recorded.
1185 CE,1185-01-01,Uprising of Asen and Peter. The reestablishment of the Bulgarian Empire.
1185 CE,1185-01-01,"At the Battle of Dan no Ura, Minamoto Yoshitsune annihilates the Taira clan."
1186 CE,1186-01-01,"The future emperor Henry VI marries Constance of Sicily, heiress to the Sicilian throne."
1187 CE,1187-01-01,Saladin recaptures Jerusalem.
1188 CE,1188-01-01,Tractatus of Glanvil.
1189 CE,1189-01-01,Richard I ascends the throne of England.
1189 CE,1189-01-01,William II of Sicily died and was succeeded by Tancred of Sicily instead of Constance.
1191 CE,1191-01-01,New Emperor Henry VI sets an expedition to conquer Kingdom of Sicily however fails and Empress Constance is captured.
1192 CE,1192-01-01,"Minamoto no Yoritomo is appointed Sei-i Taishōgun, or shōgun for short."
1193 CE,1193-01-01,Muhammad bin Bakhtiyar Khilji sack and burn the university at Nalanda.
1193 CE,1193-01-01,The first known merchant guild.
1195 CE,1195-01-01,Battle of Alarcos The Almohad Caliphate decisively defeat the Kingdom of Castile.
1199 CE,1199-01-01,Europeans first use compasses.
1202 CE,1202-01-01,"The Fourth Crusade sacked Croatian town of Zadar (Italian: Zara), a rival of Venice. Unable to raise enough funds to pay to their Venetian contractors, the crusaders agreed to sack the city despite letters from Pope Innocent III forbidding such an action and threatening excommunication."
1202 CE,1202-01-01,"Battle of Mirebeau. John of England captures Arthur I of Brittany and Eleanor, Fair Maid of Brittany sister of Arthur."
1204 CE,1204-01-01,Sack of Constantinople during the Fourth Crusade.
1205 CE,1205-01-01,Battle of Adrianople. The Bulgarians under Emperor Kaloyan defeat Baldwin I.
1206 CE,1206-01-01,Genghis Khan was elected as Khagan of the Mongols and the Mongol Empire was established.
1208 CE,1208-01-01,Pope Innocent III calls for the Albigensian Crusade which seeks to destroy a rival form of Christianity practiced by the Cathars.
1209 CE,1209-01-01,The University of Cambridge is founded.
1209 CE,1209-01-01,Founding of the Franciscan Order.
1212 CE,1212-01-01,"Spanish Christians succeed in defeating the Moors in the long Reconquista campaigns, after the Battle of Las Navas de Tolosa."
1214 CE,1214-01-01,Battle of Bouvines.
1215 CE,1215-01-01,The Magna Carta is sealed by John of England.
1215 CE,1215-01-01,"Fourth Lateran Council. Dealt with transubstantiation, papal primacy and conduct of clergy. Proclaimed that Jews and Muslims should wear identification marks to distinguish them from Christians."
1216 CE,1216-01-01,Papal recognition of the Dominican Order.
1219 CE,1219-01-01,"Serbian Orthodox Church becomes autocephalous under St. Sava, its first Archbishop."
1227 CE,1227-01-01,Genghis Khan dies.
1246 CE,1246-01-01,Election of Güyük Khan.
1250 CE,1250-01-01,Louis IX is captured at the last major battle of the Seventh Crusade.
1257 CE,1257-01-01,Opening of the College of Sorbonne.
1257 CE,1257-01-01,Provisions of Oxford forced upon Henry III of England.
1258 CE,1258-01-01,Siege of Baghdad.
1258 CE,1258-01-01,The first Mongol invasion of Vietnam.
1273 CE,1273-01-01,Rudolph I of Germany is elected Holy Roman Emperor.
1274 CE,1274-01-01,"Thomas Aquinas' work, Summa Theologica is published, after his death."
1279 CE,1279-01-01,Battle of Yamen.
1282 CE,1282-01-01,"Sicilian Vespers. Sicilians massacre Angevins over a six-week period, after a Frenchman, harassed a woman."
1283 CE,1283-01-01,First regulated Catalan Courts.
1285 CE,1285-01-01,The second Mongol invasion of Vietnam.
1287 CE,1287-01-01,The third Mongol invasion of Vietnam.
1293 CE,1293-01-01,Mongol invasion of Java.
1296 CE,1296-01-01,"Edward I of England invades Scotland, starting the First War of Scottish Independence."
1297 CE,1297-01-01,The Battle of Stirling Bridge.
1298 CE,1298-01-01,"Marco Polo publishes his tales of China, along with Rustichello da Pisa."
1299 CE,1299-01-01,The Ottoman Empire is founded by Osman I.
1305 CE,1305-01-01,William Wallace is executed for treason.
1307 CE,1307-01-01,"The Knights Templar are rounded up and murdered by Philip the Fair of France, with the backing of the Pope."
1307 CE,1307-01-01,Beginning of the Babylonian Captivity of the Papacy during which the Popes moved to Avignon.
1310 CE,1310-01-01,Dante publishes his Divine Comedy.
1314 CE,1314-01-01,Battle of Bannockburn.
1325 CE,1325-01-01,The Mexica found the city of Tenochtitlan.
1328 CE,1328-01-01,The First War of Scottish Independence ends in Scottish victory with the Treaty of Edinburgh–Northampton and de jure independence.
1330 CE,1330-01-01,Battle of Velbazhd.
1333 CE,1333-01-01,"Emperor Go-Daigo returns to the throne from exile, and begins the Kenmu Restoration."
1337 CE,1337-01-01,The Hundred Years' War begins. England and France struggle for a dominating position in Europe and their region.
1346 CE,1346-01-01,Battle of Crécy.
1347 CE,1347-01-01,The Black Death ravages Europe for the first of many times. An estimated 20% – 40% of the population is thought to have perished within the first year.
1347 CE,1347-01-01,The University of Prague is founded.
1364 CE,1364-01-01,Astrarium.
1368 CE,1368-01-01,"The fall of the Yuan dynasty. Its remnants, known as Northern Yuan, continued to rule Mongolia."
1370 CE,1370-01-01,Tamerlane establishes the Timurid dynasty.
1371 CE,1371-01-01,"King Marko's realm is established, the capital is located in Prilep."
1378 CE,1378-01-01,The Western Schism during which three claimant popes were elected simultaneously.
1380 CE,1380-01-01,Prince Dmitry Donskoy of Moscow led a united Russian army to a victory over the Mongols in the Battle of Kulikovo.
1380 CE,1380-01-01,Chaucer begins to write The Canterbury Tales.
1381 CE,1381-01-01,Peasants' Revolt in England.
1381 CE,1381-01-01,The Bible is translated into English by John Wycliffe.
1386 CE,1386-01-01,The University of Heidelberg is founded.
1389 CE,1389-01-01,Battle of Kosovo in Serbia.
1392 CE,1392-01-01,Joseon dynasty founded in Korea.
1396 CE,1396-01-01,The Battle of Nicopolis.
1397 CE,1397-01-01,The Kalmar Union is formed.
1399 CE,1399-01-01,"Richard II abdicates the throne to Henry of Bolingbroke, who becomes Henry IV of England."
1400 CE,1400-01-01,Establishment of the Malaccan Sultanate.
1402 CE,1402-01-01,Battle of Ankara.
1405 CE,1405-01-01,"Chinese naval expeditions of Southeast Asia and the Indian Ocean (to Eastern Africa) begin, under the leadership of Zheng He."
1409 CE,1409-01-01,"Ladislaus of Naples sells his 'rights' on Dalmatia to the Venetian Republic for 100,000 ducats."
1410 CE,1410-01-01,Battle of Grunwald.
1415 CE,1415-01-01,Kingdom of Portugal conquers Ceuta.
1415 CE,1415-01-01,"Battle of Agincourt. Henry V and his army defeat a numerically superior French army, partially because of the newly introduced English longbow."
1417 CE,1417-01-01,The Council of Constance ends.
1419 CE,1419-01-01,"Hussite Wars begin after four years after the death of Jan Hus in central Europe, dealing with the followers of Jan Hus and those against them."
1428 CE,1428-01-01,"Itzcoatl, the fourth Mexica king in Tenochtitlán, allied with Texcoco and Tlacopan, defeats Azcapotzalco."
1429 CE,1429-01-01,"Joan of Arc lifts the siege of Orléans for the Dauphin of France, enabling him to eventually be crowned at Reims."
1431 CE,1431-01-01,Trial and execution of Joan of Arc.
1434 CE,1434-01-01,The Medici family rises to prominence in Florence.
1434 CE,1434-01-01,Aronolfini Portrait Jan van Eyck.
1438 CE,1438-01-01,Prince Cusi Yupanqui becomes the first Inca emperor.
1439 CE,1439-01-01,Johannes Gutenberg invents the printing press.
1442 CE,1442-01-01,Battle of Szeben.
1443 CE,1443-01-01,Sejong the Great creates Hangul.
1444 CE,1444-01-01,Battle of Varna.
1450 CE,1450-01-01,Jack Cade's Rebellion.
1452 CE,1452-01-01,Coronation of Frederick III.
1453 CE,1453-01-01,Constantinople falls to the Ottoman Turks.
1453 CE,1453-01-01,The Hundred Years' War ends.
1455 CE,1455-01-01,Battle of St. Albans.
1456 CE,1456-01-01,Siege of Belgrade.
1459 CE,1459-01-01,Smederevo falls under the Turks.
1461 CE,1461-01-01,The Empire of Trebizond falls to the Ottoman Turks.
1464 CE,1464-01-01,Dardanelles gun constructed.
1475 CE,1475-01-01,The Khanate of Crimea is conquered and made a vassal state by the Ottoman Empire.
1480 CE,1480-01-01,Great Stand on the Ugra River.
1485 CE,1485-01-01,Thomas Malory composes Le Morte d'Arthur.
1485 CE,1485-01-01,Battle of Bosworth Field.
1487 CE,1487-01-01,Battle of Stoke.
1492 CE,1492-01-01,Reconquista ends.
1492 CE,1492-01-01,Christopher Columbus reaches the New World.
1494 CE,1494-01-01,Spain and Portugal sign the Treaty of Tordesillas and agree to divide the World outside of Europe between themselves.
1497 CE,1497-01-01,Vasco da Gama begins his first voyage from Europe to India and back.
1499 CE,1499-01-01,Ottoman fleet defeats Venetians at the Battle of Zonchio.
1501 CE,1501-01-01,Michelangelo returns to his native Florence to begin work on the statue David.
1501 CE,1501-01-01,Safavid dynasty reunifies Iran and rules over it until 1736. Safavids adopt a Shia branch of Islam.
1501 CE,1501-01-01,First Battle of Cannanore between the Third Portuguese Armada and Kingdom of Cochin under João da Nova and Zamorin of Kozhikode's navy marks the beginning of Portuguese conflicts in the Indian Ocean.
1502 CE,1502-01-01,First reported African slaves in the New World.
1502 CE,1502-01-01,"The Crimean Khanate sacks Sarai in the Golden Horde, ending its existence."
1503 CE,1503-01-01,Spain defeats France at the Battle of Cerignola. Considered to be the first battle in history won by gunpowder small arms.
1503 CE,1503-01-01,Leonardo da Vinci begins painting the Mona Lisa and completes it three years later.
1503 CE,1503-01-01,Nostradamus is born on either December 14 or December 21.
1504 CE,1504-01-01,"A period of drought, with famine in all of Spain."
1504 CE,1504-01-01,Death of Isabella I of Castile; Joanna of Castile becomes the Queen.
1504 CE,1504-01-01,"Foundation of the Sultanate of Sennar by Amara Dunqas, in what is modern Sudan."
1505 CE,1505-01-01,Zhengde Emperor ascends the throne of Ming Dynasty.
1505 CE,1505-01-01,"Martin Luther enters St. Augustine's Monastery at Erfurt, Germany, on 17 July and begins his journey to instigating the Reformation."
1505 CE,1505-01-01,"Sultan Trenggono builds the first Muslim kingdom in Java, called Demak, in Indonesia. Many other small kingdoms were established in other islands to fight against Portuguese. Each kingdom introduced local language as a way of communication and unity."
1506 CE,1506-01-01,Leonardo da Vinci completes the Mona Lisa.
1506 CE,1506-01-01,"King Afonso I of Kongo wins the battle of Mbanza Kongo, resulting in Catholicism becoming Kongo's state religion."
1506 CE,1506-01-01,"At least two thousand converted Jews are massacred in a Lisbon riot, Portugal."
1506 CE,1506-01-01,"Christopher Columbus dies in Valladolid, Spain."
1506 CE,1506-01-01,Poland is invaded by Tatars from the Crimean Khanate.
1507 CE,1507-01-01,The first recorded epidemic of smallpox in the New World on the island of Hispaniola. It devastates the native Taíno population.
1507 CE,1507-01-01,"Afonso de Albuquerque conquered Hormuz and Muscat, among other bases in the Persian Gulf, taking control of the region at the entrance of the Gulf."
1508 CE,1508-01-01,The Christian-Islamic power struggle in Europe and West Asia spills over into the Indian Ocean as Battle of Chaul during the Portuguese-Mamluk War.
1509 CE,1509-01-01,"The defeat of joint fleet of the Sultan of Gujarat, the Mamlûk Burji Sultanate of Egypt, and the Zamorin of Calicut with support of the Republic of Venice and the Ottoman Empire in Battle of Diu marks the beginning of Portuguese dominance of the Spice trade and the Indian Ocean."
1509 CE,1509-01-01,"The Portuguese king sends Diogo Lopes de Sequeira to find Malacca, the eastern terminus of Asian trade. After initially receiving Sequeira, Sultan Mahmud Shah captures and/or kills several of his men and attempts an assault on the four Portuguese ships, which escape. The Javanese fleet is also destroyed in Malacca."
1509 CE,1509-01-01,Krishnadevaraya ascends the throne of Vijayanagara Empire.
1510 CE,1510-01-01,Afonso de Albuquerque of Portugal conquers Goa in India.
1511 CE,1511-01-01,"Afonso de Albuquerque of Portugal conquers Malacca, the capital of the Sultanate of Malacca in present-day Malaysia."
1512 CE,1512-01-01,"Copernicus writes Commentariolus, and proclaims the sun the center of the solar system."
1512 CE,1512-01-01,The southern part (historical core) of the Kingdom of Navarre is invaded by Castile and Aragon.
1512 CE,1512-01-01,"Qutb Shahi dynasty, founded by Quli Qutb Mulk, rules Golconda Sultanate until 1687."
1512 CE,1512-01-01,The first Portuguese exploratory expedition was sent eastward from Malacca (in present-day Malaysia) to search for the 'Spice Islands' (Maluku) led by Francisco Serrão. Serrão is shipwrecked but struggles on to Hitu (northern Ambon) and wins the favour of the local rulers.
1513 CE,1513-01-01,"Machiavelli writes The Prince, a treatise about political philosophy."
1513 CE,1513-01-01,"The Portuguese mariner Jorge Álvares lands at Macau, China, during the Ming Dynasty."
1513 CE,1513-01-01,Henry VIII defeats the French at the Battle of the Spurs.
1513 CE,1513-01-01,The Battle of Flodden Field in which invading Scots are defeated by Henry VIII's forces.
1513 CE,1513-01-01,"Sultan Selim I ('The Grim') orders the massacre of Shia Muslims in Anatolia (present-day Turkey)."
1513 CE,1513-01-01,"Vasco Núñez de Balboa, in service of Spain arrives at the Pacific Ocean (which he called Mar del Sur) across the Isthmus of Panama. He was the first European to do so."
1514 CE,1514-01-01,The Battle of Orsha halts Muscovy's expansion into Eastern Europe.
1514 CE,1514-01-01,"Dózsa rebellion (peasant revolt) in Hungary."
1514 CE,1514-01-01,"The Battle of Chaldiran, the Ottoman Empire gains decisive victory against Safavid dynasty."
1515 CE,1515-01-01,The Ottoman Empire wrests Eastern Anatolia from the Safavids after the Battle of Chaldiran.
1515 CE,1515-01-01,"The Ottomans conquers the last beyliks of Anatolia, the Dulkadirs and the Ramadanids."
1517 CE,1517-01-01,The Sweating sickness epidemic in Tudor England.
1517 CE,1517-01-01,The Reformation begins when Martin Luther posts his Ninety-five Theses in Saxony.
1518 CE,1518-01-01,"The Treaty of London was a non-aggression pact between the major European nations. The signatories were Burgundy, France, England, the Holy Roman Empire, the Netherlands, the Papal States and Spain, all of whom agreed not to attack one another and to come to the aid of any that were under attack."
1518 CE,1518-01-01,Mir Chakar Khan Rind leaves Baluchistan and settles in Punjab.
1518 CE,1518-01-01,"Leo Africanus, also known as al-Hasan ibn Muhammad al-Wazzan al-Fasi, an Andalusian Berber diplomat who is best known for his book Descrittione dell’Africa (Description of Africa), is captured by Spanish pirates; he is taken to Rome and presented to Pope Leo X."
1518 CE,1518-01-01,"The dancing plague of 1518 begins in Strasbourg, lasting for about one month."
1519 CE,1519-01-01,"Wang Yangming, the Chinese philosopher and governor of Jiangxi province, describes his intent to use the firepower of the fo-lang-ji, a breech-loading Portuguese culverin, in order to suppress the rebellion of Prince Zhu Chenhao."
